,userId,tmdbId,rating
0,7,862,3.0
1,9,862,4.0
2,13,862,5.0
3,15,862,2.0
4,19,862,3.0
5,20,862,3.5
6,23,862,3.0
7,26,862,5.0
8,30,862,4.0
9,37,862,4.0
10,43,862,4.0
11,44,862,4.0
12,47,862,5.0
13,48,862,4.0
14,55,862,3.0
15,56,862,4.0
16,63,862,5.0
17,67,862,3.0
18,68,862,4.0
19,69,862,5.0
20,70,862,5.0
21,72,862,3.5
22,73,862,5.0
23,75,862,3.0
24,77,862,4.0
25,79,862,2.0
26,84,862,3.5
27,86,862,3.0
28,87,862,3.0
29,89,862,5.0
30,90,862,4.0
31,91,862,5.0
32,92,862,5.0
33,93,862,4.0
34,94,862,4.0
35,97,862,1.0
36,99,862,4.0
37,100,862,4.0
38,106,862,4.0
39,112,862,5.0
40,119,862,2.0
41,120,862,2.5
42,121,862,4.0
43,122,862,3.0
44,124,862,4.5
45,125,862,4.0
46,126,862,5.0
47,128,862,5.0
48,130,862,3.0
49,134,862,3.5
50,136,862,4.5
51,138,862,2.0
52,142,862,4.0
53,146,862,5.0
54,149,862,3.0
55,150,862,3.0
56,152,862,3.5
57,153,862,5.0
58,154,862,4.0
59,157,862,3.5
60,163,862,3.0
61,164,862,3.5
62,165,862,2.5
63,168,862,5.0
64,169,862,4.0
65,173,862,4.0
66,175,862,4.0
67,176,862,2.0
68,177,862,5.0
69,178,862,4.0
70,179,862,5.0
71,184,862,5.0
72,185,862,5.0
73,187,862,4.0
74,193,862,4.0
75,200,862,3.0
76,201,862,5.0
77,205,862,4.5
78,212,862,3.0
79,213,862,3.0
80,215,862,3.0
81,219,862,5.0
82,220,862,2.0
83,224,862,4.0
84,232,862,3.0
85,237,862,3.0
86,240,862,4.5
87,241,862,3.0
88,242,862,5.0
89,247,862,4.0
90,252,862,3.0
91,253,862,4.5
92,261,862,1.5
93,262,862,2.5
94,268,862,5.0
95,272,862,4.0
96,273,862,4.5
97,275,862,5.0
98,282,862,4.0
99,283,862,3.0
100,284,862,3.0
101,285,862,4.0
102,287,862,5.0
103,292,862,4.0
104,293,862,4.0
105,294,862,4.0
106,306,862,3.0
107,311,862,3.0
108,312,862,5.0
109,313,862,4.0
110,314,862,2.0
111,318,862,1.0
112,321,862,3.0
113,324,862,4.0
114,328,862,4.0
115,329,862,5.0
116,333,862,4.0
117,334,862,5.0
118,336,862,2.0
119,343,862,5.0
120,344,862,4.0
121,345,862,4.5
122,350,862,4.0
123,353,862,3.5
124,354,862,5.0
125,355,862,3.0
126,357,862,5.0
127,358,862,5.0
128,361,862,3.0
129,363,862,5.0
130,379,862,3.5
131,380,862,4.0
132,382,862,3.5
133,383,862,5.0
134,390,862,4.0
135,396,862,5.0
136,401,862,5.0
137,402,862,2.0
138,403,862,4.0
139,406,862,3.5
140,407,862,4.0
141,408,862,2.0
142,409,862,5.0
143,410,862,5.0
144,412,862,4.0
145,417,862,3.5
146,418,862,3.5
147,419,862,4.5
148,421,862,2.0
149,422,862,5.0
150,425,862,4.5
151,426,862,3.0
152,428,862,5.0
153,430,862,4.0
154,431,862,4.5
155,432,862,5.0
156,433,862,4.5
157,434,862,4.0
158,437,862,4.0
159,440,862,4.0
160,442,862,4.0
161,447,862,3.0
162,448,862,3.0
163,452,862,3.5
164,455,862,3.5
165,456,862,3.5
166,457,862,1.5
167,458,862,3.5
168,459,862,5.0
169,460,862,4.5
170,461,862,3.5
171,463,862,3.0
172,466,862,5.0
173,468,862,4.0
174,470,862,3.5
175,471,862,3.5
176,472,862,5.0
177,475,862,4.5
178,480,862,5.0
179,481,862,4.0
180,484,862,3.0
181,486,862,5.0
182,490,862,1.0
183,491,862,5.0
184,500,862,2.0
185,501,862,5.0
186,502,862,4.0
187,503,862,4.0
188,506,862,4.0
189,507,862,3.0
190,509,862,3.0
191,510,862,1.0
192,514,862,4.0
193,518,862,5.0
194,520,862,3.0
195,525,862,2.0
196,526,862,4.0
197,529,862,4.0
198,530,862,5.0
199,531,862,3.0
200,534,862,5.0
201,537,862,5.0
202,538,862,5.0
203,542,862,4.5
204,543,862,5.0
205,547,862,3.5
206,548,862,4.0
207,553,862,4.0
208,559,862,4.0
209,560,862,4.5
210,561,862,3.0
211,562,862,4.5
212,564,862,4.0
213,568,862,3.0
214,570,862,1.5
215,574,862,4.0
216,575,862,3.0
217,577,862,5.0
218,580,862,4.0
219,584,862,5.0
220,585,862,4.0
221,586,862,4.0
222,594,862,4.0
223,595,862,5.0
224,596,862,3.5
225,597,862,5.0
226,598,862,4.5
227,603,862,4.0
228,607,862,4.5
229,608,862,4.0
230,615,862,4.0
231,616,862,4.0
232,623,862,4.5
233,624,862,5.0
234,630,862,4.0
235,636,862,3.0
236,641,862,4.0
237,646,862,5.0
238,647,862,4.0
239,649,862,4.0
240,653,862,4.0
241,654,862,5.0
242,660,862,2.5
243,663,862,4.0
244,664,862,3.5
245,670,862,4.0
246,671,862,5.0
247,15,8844,2.0
248,19,8844,3.0
249,30,8844,2.0
250,32,8844,4.0
251,41,8844,3.5
252,47,8844,5.0
253,48,8844,3.5
254,49,8844,5.0
255,61,8844,3.5
256,68,8844,3.0
257,69,8844,3.5
258,72,8844,2.5
259,73,8844,2.5
260,78,8844,3.5
261,79,8844,2.5
262,80,8844,2.0
263,85,8844,5.0
264,88,8844,3.5
265,92,8844,3.0
266,99,8844,2.0
267,113,8844,5.0
268,115,8844,5.0
269,119,8844,3.0
270,124,8844,3.0
271,126,8844,3.0
272,128,8844,4.0
273,134,8844,4.5
274,150,8844,3.0
275,151,8844,4.0
276,157,8844,2.5
277,161,8844,4.0
278,165,8844,3.0
279,176,8844,3.0
280,177,8844,5.0
281,182,8844,5.0
282,185,8844,4.0
283,187,8844,3.0
284,188,8844,4.0
285,192,8844,4.0
286,200,8844,3.5
287,212,8844,3.0
288,213,8844,3.0
289,218,8844,2.5
290,224,8844,4.0
291,241,8844,3.0
292,253,8844,4.0
293,262,8844,2.0
294,268,8844,3.5
295,279,8844,3.0
296,285,8844,3.0
297,287,8844,5.0
298,288,8844,4.0
299,292,8844,3.5
300,298,8844,5.0
301,306,8844,4.0
302,312,8844,2.0
303,313,8844,3.0
304,324,8844,4.0
305,338,8844,3.0
306,346,8844,2.0
307,353,8844,2.0
308,355,8844,3.0
309,369,8844,3.0
310,382,8844,3.0
311,389,8844,4.0
312,396,8844,3.0
313,418,8844,2.0
314,426,8844,3.0
315,428,8844,3.0
316,440,8844,4.0
317,442,8844,4.0
318,447,8844,3.0
319,466,8844,3.0
320,468,8844,2.0
321,471,8844,3.0
322,473,8844,5.0
323,479,8844,4.0
324,480,8844,5.0
325,487,8844,4.0
326,496,8844,4.0
327,500,8844,1.5
328,506,8844,3.0
329,517,8844,5.0
330,518,8844,4.0
331,522,8844,2.5
332,525,8844,2.0
333,531,8844,4.0
334,534,8844,4.0
335,535,8844,3.0
336,537,8844,3.0
337,548,8844,3.0
338,561,8844,3.0
339,564,8844,4.0
340,575,8844,4.0
341,580,8844,3.5
342,590,8844,3.0
343,593,8844,3.0
344,595,8844,2.0
345,602,8844,4.0
346,603,8844,4.0
347,607,8844,3.0
348,624,8844,3.0
349,641,8844,4.0
350,654,8844,3.0
351,655,8844,4.0
352,662,8844,5.0
353,665,8844,3.0
354,5,15602,4.0
355,19,15602,3.0
356,25,15602,3.0
357,44,15602,5.0
358,70,15602,5.0
359,75,15602,3.0
360,85,15602,2.0
361,100,15602,4.0
362,110,15602,4.0
363,112,15602,5.0
364,115,15602,5.0
365,128,15602,2.0
366,154,15602,4.0
367,162,15602,2.0
368,165,15602,2.5
369,182,15602,4.0
370,217,15602,4.5
371,233,15602,3.0
372,239,15602,4.0
373,256,15602,3.0
374,275,15602,4.0
375,284,15602,3.0
376,285,15602,3.0
377,329,15602,3.0
378,358,15602,1.0
379,361,15602,4.0
380,390,15602,5.0
381,416,15602,4.0
382,425,15602,0.5
383,430,15602,1.5
384,442,15602,4.5
385,452,15602,1.0
386,457,15602,1.5
387,459,15602,4.0
388,468,15602,2.5
389,484,15602,4.0
390,496,15602,3.0
391,505,15602,3.0
392,507,15602,2.0
393,509,15602,2.0
394,514,15602,1.0
395,516,15602,3.0
396,534,15602,2.0
397,543,15602,5.0
398,548,15602,4.0
399,559,15602,3.0
400,564,15602,3.0
401,574,15602,3.5
402,603,15602,2.0
403,605,15602,2.0
404,607,15602,3.5
405,614,15602,2.0
406,616,15602,3.0
407,624,15602,3.0
408,640,15602,4.0
409,641,15602,3.0
410,646,15602,5.0
411,650,15602,3.0
412,665,15602,3.0
413,19,31357,3.0
414,113,31357,3.0
415,128,31357,3.0
416,168,31357,3.0
417,182,31357,3.0
418,239,31357,3.0
419,391,31357,2.0
420,460,31357,3.5
421,461,31357,1.5
422,518,31357,1.0
423,644,31357,1.0
424,649,31357,3.0
425,650,31357,1.0
426,15,11862,4.5
427,18,11862,3.0
428,44,11862,3.0
429,55,11862,3.0
430,69,11862,5.0
431,70,11862,5.0
432,85,11862,3.0
433,98,11862,3.0
434,110,11862,4.0
435,111,11862,3.0
436,113,11862,5.0
437,127,11862,4.0
438,134,11862,1.0
439,140,11862,4.5
440,150,11862,2.5
441,154,11862,3.0
442,162,11862,4.0
443,182,11862,4.0
444,196,11862,4.0
445,212,11862,2.5
446,223,11862,4.0
447,235,11862,4.5
448,239,11862,3.0
449,241,11862,2.0
450,256,11862,3.0
451,284,11862,4.0
452,292,11862,4.0
453,294,11862,3.5
454,306,11862,2.0
455,313,11862,3.5
456,318,11862,3.0
457,329,11862,3.0
458,344,11862,2.0
459,345,11862,2.0
460,358,11862,2.0
461,381,11862,4.0
462,382,11862,3.0
463,389,11862,4.0
464,431,11862,4.5
